Open,High,Low,Close,Volume
1.209862828,1.209862828,1.110555887,1.128795505,0
1.128795505,1.148419499,1.11768055,1.120536089,0
1.119795799,1.124040008,1.046003222,1.083024621,0
1.074102283,1.124759436,1.052159786,1.111432195,0
1.121503711,1.145304799,1.082199574,1.096034527,0
1.095902443,1.142840147,1.088890433,1.122296691,0
1.113498926,1.121999502,1.081270456,1.093924403,0
1.096900105,1.170599699,1.085030556,1.134005427,0
1.122599006,1.146000385,1.108969569,1.125593781,0
1.117156148,1.149420023,1.091000319,1.100897193,0
1.102499366,1.106000185,1.05640018,1.058301806,0
1.057294726,1.10700047,1.054199576,1.093398094,0
